,ge,tc,tl,ln,dn
134,134,0.001,0.0,99.0,99.0
135,135,0.001,0.001,99.0,99.0
136,136,0.0,0.001,99.0,99.0
137,137,0.0,0.0,99.0,99.0
138,138,0.0,0.0,99.0,99.0
139,139,0.0,0.0,99.0,99.0
140,140,0.0,0.0,99.0,99.0
141,141,0.0,0.0,99.0,99.0
142,142,0.001,0.002,99.0,99.0
143,143,0.0,0.0030000000000000005,99.0,99.0
144,144,0.0,0.004,99.0,99.0
145,145,0.0,0.005,99.0,99.0
146,146,0.001,0.004,99.0,99.0
147,147,0.0030000000000000005,0.004,99.0,99.0
148,148,0.006000000000000001,0.004,99.0,99.0
149,149,0.01,0.008,99.0,99.0
150,150,0.013000000000000001,0.011000000000000003,99.0,99.0
151,151,0.016,0.007000000000000001,99.0,99.0
152,152,0.014000000000000002,0.009000000000000001,99.0,99.0
153,153,0.012000000000000002,0.013999999999999999,99.0,99.0
154,154,0.011000000000000001,0.013999999999999999,99.0,99.0
155,155,0.017,0.013000000000000003,99.0,99.0
156,156,0.02,0.013000000000000003,99.0,99.0
157,157,0.019000000000000003,0.012000000000000002,99.0,99.0
158,158,0.018000000000000002,0.013000000000000003,99.0,99.0
159,159,0.018000000000000002,0.018000000000000002,99.0,99.0
160,160,0.023,0.013000000000000001,99.0,99.0
161,161,0.019000000000000003,0.013000000000000001,99.0,99.0
162,162,0.015000000000000003,0.016,99.0,99.0
163,163,0.019,0.018000000000000002,99.0,99.0
164,164,0.025,0.014000000000000004,99.0,99.0
165,165,0.029000000000000005,0.014000000000000004,99.0,99.0
166,166,0.035,0.015,99.0,99.0
167,167,0.033,0.015,99.0,99.0
168,168,0.035,0.012000000000000002,99.0,99.0
169,169,0.036000000000000004,0.012000000000000002,99.0,99.0
170,170,0.037000000000000005,0.015,99.0,99.0
171,171,0.043,0.012000000000000002,99.0,99.0
172,172,0.05199999999999999,0.014000000000000002,99.0,99.0
173,173,0.046,0.013000000000000003,99.0,99.0
174,174,0.041999999999999996,0.018000000000000002,99.0,99.0
175,175,0.051999999999999984,0.015,99.0,99.0
176,176,0.04899999999999999,0.013000000000000003,99.0,99.0
177,177,0.043999999999999984,0.019000000000000003,99.0,99.0
178,178,0.03900000000000001,0.025,99.0,99.0
179,179,0.04499999999999999,0.028000000000000004,99.0,99.0
180,180,0.04799999999999999,0.031,99.0,99.0
181,181,0.048999999999999995,0.031,99.0,99.0
182,182,0.03900000000000001,0.034,99.0,99.0
183,183,0.041999999999999996,0.037000000000000005,99.0,99.0
184,184,0.036000000000000004,0.036000000000000004,99.0,99.0
185,185,0.035,0.037000000000000005,99.0,99.0
186,186,0.032,0.041999999999999996,99.0,99.0
187,187,0.034,0.040999999999999995,99.0,99.0
188,188,0.039,0.037000000000000005,99.0,99.0
189,189,0.04,0.04499999999999999,99.0,99.0
190,190,0.039,0.043999999999999984,99.0,99.0
191,191,0.037000000000000005,0.042,99.0,99.0
192,192,0.037000000000000005,0.040999999999999995,99.0,99.0
193,193,0.038000000000000006,0.040999999999999995,99.0,99.0
194,194,0.041999999999999996,0.043,99.0,99.0
195,195,0.04,0.038,99.0,99.0
196,196,0.038000000000000006,0.04,99.0,99.0
197,197,0.03900000000000001,0.043,99.0,99.0
198,198,0.03,0.046,99.0,99.0
199,199,0.026000000000000002,0.04799999999999999,99.0,99.0
200,200,0.025000000000000005,0.048999999999999995,99.0,99.0
201,201,0.032,0.05499999999999999,99.0,99.0
202,202,0.031,0.055,99.0,99.0
203,203,0.041999999999999996,0.054000000000000006,99.0,99.0
204,204,0.051,0.048,99.0,99.0
205,205,0.03900000000000001,0.053,99.0,99.0
206,206,0.038000000000000006,0.05199999999999999,99.0,99.0
207,207,0.034,0.05399999999999999,99.0,99.0
208,208,0.034,0.04999999999999999,99.0,99.0
209,209,0.026000000000000002,0.044,99.0,99.0
210,210,0.024,0.043,99.0,99.0
211,211,0.023000000000000003,0.04,99.0,99.0
212,212,0.022000000000000002,0.039,99.0,99.0
213,213,0.022000000000000002,0.03900000000000001,99.0,99.0
214,214,0.025,0.03900000000000001,99.0,99.0
215,215,0.037000000000000005,0.046,99.0,99.0
216,216,0.03900000000000001,0.041999999999999996,99.0,99.0
217,217,0.041999999999999996,0.04,99.0,99.0
218,218,0.031,0.041999999999999996,99.0,99.0
219,219,0.033,0.038000000000000006,99.0,99.0
220,220,0.03,0.033,99.0,99.0
221,221,0.033,0.040999999999999995,99.0,99.0
222,222,0.032,0.043,99.0,99.0
223,223,0.032,0.05199999999999999,99.0,99.0
224,224,0.03,0.05,99.0,99.0
225,225,0.037000000000000005,0.043,99.0,99.0
226,226,0.035,0.046,99.0,99.0
227,227,0.043,0.04699999999999999,99.0,99.0
228,228,0.048,0.059,99.0,99.0
229,229,0.048,0.04899999999999999,99.0,99.0
230,230,0.05299999999999999,0.05799999999999999,99.0,99.0
231,231,0.05899999999999998,0.05299999999999999,99.0,99.0
232,232,0.05199999999999999,0.05299999999999999,99.0,99.0
233,233,0.05199999999999999,0.04899999999999999,99.0,99.0
234,234,0.050999999999999976,0.04499999999999999,99.0,99.0
235,235,0.051,0.04699999999999999,99.0,99.0
236,236,0.055999999999999994,0.036000000000000004,99.0,99.0
237,237,0.05899999999999998,0.04299999999999999,99.0,99.0
238,238,0.060999999999999985,0.04699999999999999,99.0,99.0
239,239,0.05699999999999998,0.051,99.0,99.0
240,240,0.05799999999999999,0.05199999999999999,99.0,99.0
241,241,0.06599999999999998,0.05199999999999999,99.0,99.0
242,242,0.06399999999999999,0.046,99.0,99.0
243,243,0.06499999999999999,0.04699999999999999,99.0,99.0
244,244,0.06699999999999999,0.046,99.0,99.0
245,245,0.071,0.04699999999999999,99.0,99.0
246,246,0.06699999999999999,0.048999999999999995,99.0,99.0
247,247,0.061,0.054000000000000006,99.0,99.0
248,248,0.066,0.05199999999999999,99.0,99.0
249,249,0.05499999999999998,0.05199999999999999,99.0,99.0
250,250,0.05599999999999999,0.048,99.0,99.0
251,251,0.067,0.05799999999999999,99.0,99.0
252,252,0.06199999999999999,0.06199999999999999,99.0,99.0
253,253,0.06499999999999999,0.06799999999999998,99.0,99.0
254,254,0.05599999999999998,0.06299999999999999,99.0,99.0
255,255,0.06599999999999998,0.06399999999999999,99.0,99.0
256,256,0.07599999999999998,0.06499999999999999,99.0,99.0
257,257,0.07799999999999999,0.06799999999999998,99.0,99.0
258,258,0.07199999999999998,0.061999999999999986,99.0,99.0
259,259,0.07799999999999999,0.056999999999999974,99.0,99.0
260,260,0.07599999999999998,0.05599999999999998,99.0,99.0
261,261,0.081,0.05499999999999998,99.0,99.0
262,262,0.08199999999999999,0.05599999999999999,99.0,99.0
263,263,0.079,0.05799999999999999,99.0,99.0
264,264,0.081,0.060999999999999985,99.0,99.0
265,265,0.077,0.05299999999999999,99.0,99.0
266,266,0.077,0.05099999999999999,99.0,99.0
267,267,0.07599999999999998,0.051,99.0,99.0
268,268,0.07299999999999997,0.05299999999999999,99.0,99.0
269,269,0.07899999999999997,0.04699999999999999,99.0,99.0
270,270,0.08099999999999997,0.051,99.0,99.0
271,271,0.07599999999999998,0.044000000000000004,99.0,99.0
272,272,0.07299999999999997,0.04800000000000001,99.0,99.0
273,273,0.07499999999999998,0.049,99.0,99.0
274,274,0.088,0.05199999999999999,99.0,99.0
275,275,0.08099999999999997,0.05299999999999999,99.0,99.0
276,276,0.08699999999999998,0.05600000000000001,99.0,99.0
277,277,0.08199999999999999,0.057,99.0,99.0
278,278,0.087,0.055,99.0,99.0
279,279,0.09599999999999997,0.057999999999999996,99.0,99.0
280,280,0.095,0.05399999999999999,99.0,99.0
281,281,0.08899999999999997,0.056999999999999995,99.0,99.0
282,282,0.09399999999999999,0.060999999999999985,99.0,99.0
283,283,0.08999999999999998,0.056999999999999995,99.0,99.0
284,284,0.08699999999999998,0.05799999999999999,99.0,99.0
285,285,0.08399999999999999,0.06599999999999999,99.0,99.0
286,286,0.08399999999999999,0.073,99.0,99.0
287,287,0.081,0.06999999999999999,99.0,99.0
288,288,0.08199999999999999,0.071,99.0,99.0
289,289,0.08599999999999998,0.07599999999999998,99.0,99.0
290,290,0.073,0.07399999999999998,99.0,99.0
291,291,0.072,0.07999999999999999,99.0,99.0
292,292,0.075,0.07799999999999999,99.0,99.0
293,293,0.06699999999999999,0.07899999999999997,99.0,99.0
294,294,0.06699999999999999,0.08199999999999998,99.0,99.0
295,295,0.06699999999999999,0.08399999999999999,99.0,99.0
296,296,0.066,0.07999999999999999,99.0,99.0
297,297,0.059,0.06599999999999999,99.0,99.0
298,298,0.053,0.06599999999999999,99.0,99.0
299,299,0.059000000000000004,0.06499999999999999,99.0,99.0
300,300,0.05999999999999999,0.068,99.0,99.0
301,301,0.05199999999999999,0.06199999999999999,99.0,99.0
302,302,0.04999999999999998,0.067,99.0,99.0
303,303,0.056999999999999995,0.076,99.0,99.0
304,304,0.04999999999999998,0.08299999999999999,99.0,99.0
305,305,0.045,0.077,99.0,99.0
306,306,0.04999999999999999,0.083,99.0,99.0
307,307,0.051,0.078,99.0,99.0
308,308,0.04999999999999999,0.072,99.0,99.0
309,309,0.048999999999999995,0.06299999999999999,99.0,99.0
310,310,0.05099999999999999,0.06899999999999999,99.0,99.0
311,311,0.05199999999999999,0.06499999999999999,99.0,99.0
312,312,0.053999999999999986,0.06499999999999999,99.0,99.0
313,313,0.05199999999999999,0.06499999999999999,99.0,99.0
314,314,0.041999999999999996,0.071,99.0,99.0
315,315,0.04799999999999999,0.06899999999999999,99.0,99.0
316,316,0.044,0.072,99.0,99.0
317,317,0.048999999999999995,0.069,99.0,99.0
318,318,0.037000000000000005,0.074,99.0,99.0
319,319,0.032,0.073,99.0,99.0
320,320,0.034999999999999996,0.07800000000000001,99.0,99.0
321,321,0.042,0.065,99.0,99.0
322,322,0.04500000000000001,0.06899999999999999,99.0,99.0
323,323,0.042,0.05599999999999999,99.0,99.0
324,324,0.03900000000000001,0.05599999999999999,99.0,99.0
325,325,0.042,0.056999999999999995,99.0,99.0
326,326,0.042,0.05199999999999999,99.0,99.0
327,327,0.05,0.045,99.0,99.0
328,328,0.046000000000000006,0.044,99.0,99.0
329,329,0.04,0.04899999999999999,99.0,99.0
330,330,0.043,0.04699999999999999,99.0,99.0
331,331,0.042,0.04799999999999999,99.0,99.0
332,332,0.05,0.05999999999999999,99.0,99.0
333,333,0.043,0.05599999999999999,99.0,99.0
334,334,0.043,0.05599999999999999,99.0,99.0
335,335,0.049,0.055999999999999994,99.0,99.0
336,336,0.04,0.06,99.0,99.0
337,337,0.030000000000000006,0.053999999999999986,99.0,99.0
338,338,0.029000000000000005,0.04999999999999999,99.0,99.0
339,339,0.033,0.048999999999999995,99.0,99.0
340,340,0.043,0.056999999999999995,99.0,99.0
341,341,0.045,0.057,99.0,99.0
342,342,0.041999999999999996,0.05199999999999999,99.0,99.0
343,343,0.039,0.04299999999999999,99.0,99.0
344,344,0.035,0.037000000000000005,99.0,99.0
345,345,0.035,0.038,99.0,99.0
346,346,0.032,0.032,99.0,99.0
347,347,0.028000000000000004,0.03900000000000001,99.0,99.0
348,348,0.036000000000000004,0.046,99.0,99.0
349,349,0.028000000000000004,0.05999999999999999,99.0,99.0
350,350,0.026000000000000002,0.059,99.0,99.0
351,351,0.021,0.069,99.0,99.0
352,352,0.021,0.072,99.0,99.0
353,353,0.019,0.077,99.0,99.0
354,354,0.013000000000000001,0.085,99.0,99.0
355,355,0.020000000000000004,0.079,99.0,99.0
356,356,0.02,0.086,99.0,99.0
357,357,0.022000000000000002,0.06899999999999999,99.0,99.0
358,358,0.029000000000000005,0.075,99.0,99.0
359,359,0.013999999999999999,0.079,99.0,99.0
360,360,0.018,0.075,99.0,99.0
361,361,0.015,0.092,99.0,99.0
362,362,0.015,0.088,99.0,99.0
363,363,0.019000000000000003,0.077,99.0,99.0
364,364,0.022000000000000002,0.07600000000000001,99.0,99.0
