,tr,ge,tc,tl,tf,ln
60,1,9,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
61,1,10,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
62,1,11,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
63,1,12,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
64,1,13,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
65,1,14,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
66,1,15,[0.7 0.1 0.9],[1.  0.5 0.2],[0.4 0.8 0.1],[0 0 0]
67,1,16,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
68,1,17,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
69,1,18,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
70,1,19,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
71,1,20,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
72,1,21,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
73,1,22,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
74,1,23,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
75,1,24,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
76,1,25,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
77,1,26,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
78,1,27,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
79,1,28,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
80,1,29,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
81,1,30,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
82,1,31,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
83,1,32,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
84,1,33,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
85,1,34,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
86,1,35,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
87,1,36,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
88,1,37,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
89,1,38,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
90,1,39,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
91,1,40,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
