,ge,tc,tl,tf,ln
0,0,0.75,0.21666666666666667,0.8666666666666667,0.5
1,1,0.75,0.21666666666666667,0.8666666666666667,0.0
2,2,0.75,0.21666666666666667,0.8666666666666667,0.0
3,3,0.75,0.21666666666666667,0.8666666666666667,0.0
4,4,0.75,0.21666666666666667,0.8666666666666667,0.0
5,5,0.75,0.21666666666666667,0.8666666666666667,0.0
6,6,0.75,0.21666666666666667,0.8666666666666667,0.0
7,7,0.75,0.21666666666666667,0.8666666666666667,0.0
8,8,0.75,0.21666666666666667,0.8666666666666667,0.0
9,9,0.7333333333333334,0.2,0.8500000000000001,0.0
10,10,0.7333333333333334,0.2,0.8500000000000001,0.0
11,11,0.7333333333333334,0.2,0.8500000000000001,0.0
12,12,0.7333333333333334,0.2,0.8500000000000001,0.0
13,13,0.7333333333333334,0.2,0.8500000000000001,0.0
14,14,0.7333333333333334,0.2,0.8500000000000001,0.0
15,15,0.7333333333333334,0.2,0.8500000000000001,0.0
16,16,0.7333333333333334,0.2,0.8500000000000001,0.0
17,17,0.7333333333333334,0.2,0.8500000000000001,0.0
18,18,0.7333333333333334,0.2,0.8500000000000001,0.0
19,19,0.75,0.18333333333333335,0.8333333333333334,0.0
20,20,0.75,0.18333333333333335,0.8333333333333334,0.0
21,21,0.75,0.18333333333333335,0.8333333333333334,0.0
22,22,0.75,0.18333333333333335,0.8333333333333334,0.0
23,23,0.75,0.18333333333333335,0.8333333333333334,0.0
24,24,0.75,0.18333333333333335,0.8333333333333334,0.0
25,25,0.7333333333333334,0.2,0.8166666666666667,0.0
26,26,0.7333333333333334,0.2,0.8166666666666667,0.0
27,27,0.7333333333333334,0.2,0.8166666666666667,0.0
28,28,0.7333333333333334,0.2,0.8166666666666667,0.0
29,29,0.7333333333333334,0.2,0.8166666666666667,0.0
30,30,0.7333333333333334,0.2,0.8166666666666667,0.0
31,31,0.7333333333333334,0.2,0.8166666666666667,0.0
32,32,0.7333333333333334,0.2,0.8166666666666667,0.0
33,33,0.7333333333333334,0.2,0.8166666666666667,0.0
34,34,0.75,0.18333333333333335,0.8166666666666667,0.0
35,35,0.75,0.18333333333333335,0.8166666666666667,0.0
36,36,0.75,0.18333333333333335,0.8166666666666667,0.0
37,37,0.75,0.18333333333333335,0.8166666666666667,0.0
38,38,0.75,0.18333333333333335,0.8166666666666667,0.0
39,39,0.75,0.18333333333333335,0.8166666666666667,0.0
40,40,0.75,0.18333333333333335,0.8166666666666667,0.0
41,41,0.75,0.18333333333333335,0.8166666666666667,0.0
42,42,0.75,0.18333333333333335,0.8166666666666667,0.0
43,43,0.75,0.18333333333333335,0.8166666666666667,0.0
44,44,0.75,0.18333333333333335,0.8166666666666667,0.0
45,45,0.7333333333333334,0.2,0.8,0.0
46,46,0.7333333333333334,0.2,0.8,0.0
47,47,0.7333333333333334,0.2,0.8,0.0
48,48,0.7333333333333334,0.2,0.8,0.0
49,49,0.7333333333333334,0.2,0.8,0.0
50,50,0.7333333333333334,0.2,0.8,0.0
