,ge,tc,tl,tf,ln
118,118,0.159,0.004,0.047,99.0
119,119,0.166,0.003,0.046,99.0
120,120,0.166,0.002,0.048,99.0
121,121,0.168,0.002,0.044000000000000004,99.0
122,122,0.17300000000000001,0.003,0.035,99.0
123,123,0.18100000000000002,0.004,0.023,99.0
124,124,0.18400000000000002,0.001,0.02,99.0
125,125,0.18400000000000002,0.001,0.02,99.0
126,126,0.18000000000000002,0.003,0.025,99.0
127,127,0.17700000000000002,0.002,0.028,99.0
128,128,0.18000000000000002,0.003,0.035,99.0
129,129,0.17500000000000002,0.001,0.034,99.0
130,130,0.17600000000000002,0.001,0.036000000000000004,99.0
131,131,0.18000000000000002,0.001,0.038,99.0
132,132,0.17800000000000002,0.001,0.04,99.0
133,133,0.17900000000000002,0.002,0.044000000000000004,99.0
134,134,0.18100000000000002,0.002,0.047,99.0
135,135,0.17800000000000002,0.0,0.052000000000000005,99.0
136,136,0.17400000000000002,0.0,0.055,99.0
137,137,0.17300000000000001,0.001,0.058,99.0
138,138,0.17500000000000002,0.001,0.061000000000000006,99.0
139,139,0.17,0.004,0.064,99.0
140,140,0.18300000000000002,0.003,0.066,99.0
141,141,0.194,0.001,0.077,99.0
142,142,0.198,0.002,0.078,99.0
143,143,0.20400000000000001,0.004,0.076,99.0
144,144,0.202,0.004,0.07500000000000001,99.0
145,145,0.21000000000000002,0.004,0.07300000000000001,99.0
146,146,0.21200000000000002,0.006,0.077,99.0
147,147,0.21200000000000002,0.009000000000000001,0.081,99.0
148,148,0.20500000000000002,0.007,0.079,99.0
149,149,0.19000000000000003,0.008,0.07500000000000001,99.0
150,150,0.18700000000000003,0.01,0.069,99.0
151,151,0.198,0.007,0.065,99.0
152,152,0.202,0.005,0.057,99.0
153,153,0.193,0.007,0.055,99.0
154,154,0.195,0.009000000000000001,0.045000000000000005,99.0
155,155,0.19000000000000003,0.012,0.041,99.0
156,156,0.17600000000000002,0.011000000000000001,0.04,99.0
157,157,0.17700000000000002,0.012,0.030000000000000002,99.0
158,158,0.17400000000000002,0.01,0.027000000000000003,99.0
159,159,0.165,0.014,0.030000000000000002,99.0
160,160,0.171,0.017,0.036000000000000004,99.0
161,161,0.17,0.019,0.037000000000000005,99.0
162,162,0.167,0.016,0.041,99.0
163,163,0.158,0.016,0.046,99.0
164,164,0.155,0.013000000000000001,0.048,99.0
165,165,0.164,0.018000000000000002,0.054000000000000006,99.0
166,166,0.168,0.028,0.056,99.0
167,167,0.166,0.035,0.054000000000000006,99.0
168,168,0.17900000000000002,0.044000000000000004,0.056,99.0
169,169,0.18700000000000003,0.038,0.061000000000000006,99.0
170,170,0.18300000000000002,0.044000000000000004,0.060000000000000005,99.0
171,171,0.18700000000000003,0.038,0.051000000000000004,99.0
172,172,0.18900000000000003,0.044000000000000004,0.045000000000000005,99.0
173,173,0.19000000000000003,0.044000000000000004,0.052000000000000005,99.0
174,174,0.197,0.048,0.047,99.0
175,175,0.203,0.042,0.049,99.0
176,176,0.21000000000000002,0.039,0.052000000000000005,99.0
177,177,0.20400000000000001,0.037000000000000005,0.051000000000000004,99.0
178,178,0.202,0.045000000000000005,0.05,99.0
179,179,0.20600000000000002,0.052000000000000005,0.044000000000000004,99.0
180,180,0.198,0.049,0.036000000000000004,99.0
181,181,0.198,0.04,0.037000000000000005,99.0
182,182,0.199,0.029,0.041,99.0
183,183,0.199,0.027000000000000003,0.051000000000000004,99.0
184,184,0.202,0.023,0.049,99.0
185,185,0.21000000000000002,0.023,0.048,99.0
186,186,0.21700000000000003,0.030000000000000002,0.049,99.0
187,187,0.23000000000000004,0.023,0.051000000000000004,99.0
188,188,0.23300000000000004,0.035,0.046,99.0
189,189,0.24200000000000002,0.029,0.052000000000000005,99.0
190,190,0.254,0.024,0.054000000000000006,99.0
191,191,0.254,0.029,0.048,99.0
192,192,0.257,0.035,0.048,99.0
193,193,0.257,0.034,0.045000000000000005,99.0
194,194,0.259,0.029,0.043000000000000003,99.0
195,195,0.258,0.026000000000000002,0.049,99.0
196,196,0.258,0.023,0.065,99.0
197,197,0.263,0.023,0.07,99.0
198,198,0.259,0.023,0.076,99.0
199,199,0.261,0.015000000000000001,0.079,99.0
200,200,0.272,0.018000000000000002,0.085,99.0
201,201,0.265,0.009000000000000001,0.085,99.0
202,202,0.268,0.005,0.092,99.0
203,203,0.275,0.008,0.095,99.0
204,204,0.265,0.012,0.094,99.0
205,205,0.273,0.007,0.096,99.0
206,206,0.281,0.008,0.097,99.0
207,207,0.278,0.009000000000000001,0.096,99.0
208,208,0.279,0.009000000000000001,0.092,99.0
209,209,0.28200000000000003,0.005,0.08700000000000001,99.0
210,210,0.29300000000000004,0.009000000000000001,0.076,99.0
211,211,0.30800000000000005,0.009000000000000001,0.07400000000000001,99.0
212,212,0.315,0.012,0.07,99.0
213,213,0.319,0.012,0.066,99.0
214,214,0.319,0.012,0.064,99.0
215,215,0.326,0.015000000000000001,0.067,99.0
216,216,0.34700000000000003,0.014,0.066,99.0
217,217,0.36000000000000004,0.018000000000000002,0.068,99.0
218,218,0.36500000000000005,0.019,0.068,99.0
219,219,0.36500000000000005,0.024,0.065,99.0
220,220,0.36200000000000004,0.025,0.07300000000000001,99.0
221,221,0.377,0.030000000000000002,0.077,99.0
222,222,0.373,0.034,0.084,99.0
223,223,0.374,0.027000000000000003,0.08600000000000001,99.0
224,224,0.374,0.025,0.08900000000000001,99.0
225,225,0.375,0.025,0.08900000000000001,99.0
226,226,0.384,0.026000000000000002,0.09000000000000001,99.0
227,227,0.386,0.035,0.093,99.0
228,228,0.386,0.035,0.097,99.0
229,229,0.39,0.04,0.098,99.0
230,230,0.392,0.035,0.098,99.0
231,231,0.396,0.028,0.098,99.0
232,232,0.392,0.015000000000000001,0.099,99.0
233,233,0.399,0.017,0.098,99.0
234,234,0.405,0.013000000000000001,0.097,99.0
235,235,0.40800000000000003,0.018000000000000002,0.097,99.0
236,236,0.41700000000000004,0.021,0.099,99.0
237,237,0.41400000000000003,0.022000000000000002,0.099,99.0
238,238,0.41300000000000003,0.029,0.097,99.0
239,239,0.42100000000000004,0.026000000000000002,0.1,99.0
240,240,0.431,0.02,0.1,99.0
241,241,0.436,0.012,0.1,99.0
242,242,0.431,0.015000000000000001,0.098,99.0
243,243,0.442,0.01,0.095,99.0
244,244,0.447,0.008,0.092,99.0
245,245,0.478,0.005,0.093,99.0
246,246,0.524,0.004,0.095,99.0
247,247,0.516,0.005,0.09000000000000001,91.0
248,248,0.525,0.003,0.08800000000000001,91.0
249,249,0.546,0.003,0.09000000000000001,93.0
250,250,0.564,0.003,0.096,93.0
251,251,0.58,0.003,0.099,93.0
252,252,0.587,0.003,0.1,93.0
253,253,0.58,0.003,0.1,93.0
254,254,0.573,0.003,0.101,93.0
255,255,0.579,0.003,0.101,93.0
256,256,0.586,0.003,0.10200000000000001,93.0
257,257,0.585,0.005,0.099,93.0
258,258,0.59,0.006,0.10300000000000001,89.0
