,ge,tc,tf,ln,dn
73,73,0.081,0.05999999999999999,99.0,99.0
74,74,0.07499999999999998,0.06699999999999999,99.0,99.0
75,75,0.071,0.06599999999999998,99.0,99.0
76,76,0.06799999999999999,0.07099999999999998,99.0,99.0
77,77,0.06699999999999999,0.07299999999999998,99.0,99.0
78,78,0.06599999999999999,0.06899999999999999,99.0,99.0
79,79,0.06599999999999998,0.07399999999999998,99.0,99.0
80,80,0.06599999999999998,0.07499999999999998,99.0,99.0
81,81,0.05999999999999999,0.07899999999999999,99.0,99.0
82,82,0.06599999999999999,0.07899999999999999,99.0,99.0
83,83,0.07399999999999998,0.07799999999999997,99.0,99.0
84,84,0.073,0.07899999999999997,99.0,99.0
85,85,0.07899999999999997,0.07699999999999997,99.0,99.0
86,86,0.08499999999999996,0.06999999999999998,99.0,99.0
87,87,0.08599999999999997,0.06899999999999999,99.0,99.0
88,88,0.09299999999999997,0.07199999999999998,99.0,99.0
89,89,0.09399999999999999,0.07599999999999998,99.0,99.0
90,90,0.09299999999999999,0.08099999999999997,99.0,99.0
91,91,0.09599999999999997,0.09199999999999996,99.0,99.0
92,92,0.09699999999999998,0.09099999999999996,99.0,99.0
93,93,0.096,0.094,99.0,99.0
94,94,0.10099999999999999,0.103,99.0,99.0
95,95,0.10099999999999999,0.10499999999999998,99.0,99.0
96,96,0.106,0.09899999999999999,99.0,99.0
97,97,0.103,0.09499999999999999,99.0,99.0
98,98,0.102,0.09199999999999997,99.0,99.0
99,99,0.10399999999999998,0.09299999999999999,99.0,99.0
100,100,0.10699999999999997,0.08899999999999998,99.0,99.0
101,101,0.10599999999999998,0.08899999999999998,99.0,99.0
102,102,0.10699999999999997,0.088,99.0,99.0
103,103,0.10499999999999998,0.08599999999999998,99.0,99.0
104,104,0.10699999999999997,0.08399999999999999,99.0,99.0
105,105,0.10599999999999998,0.07599999999999998,99.0,99.0
106,106,0.11099999999999997,0.07699999999999997,99.0,99.0
107,107,0.109,0.07399999999999998,99.0,99.0
108,108,0.107,0.07899999999999999,99.0,99.0
109,109,0.103,0.07999999999999999,99.0,99.0
110,110,0.107,0.06599999999999999,99.0,99.0
111,111,0.10800000000000001,0.061,99.0,99.0
112,112,0.107,0.06299999999999999,99.0,99.0
113,113,0.11199999999999999,0.071,99.0,99.0
114,114,0.122,0.06899999999999999,99.0,99.0
115,115,0.13,0.06799999999999999,99.0,99.0
116,116,0.12899999999999998,0.075,99.0,99.0
117,117,0.125,0.071,99.0,99.0
118,118,0.12399999999999999,0.06799999999999999,99.0,99.0
119,119,0.122,0.074,99.0,99.0
120,120,0.127,0.079,99.0,99.0
121,121,0.12299999999999998,0.075,99.0,99.0
122,122,0.13399999999999998,0.07200000000000001,99.0,99.0
123,123,0.131,0.079,99.0,99.0
124,124,0.12499999999999999,0.08999999999999998,99.0,99.0
125,125,0.12299999999999998,0.09199999999999997,99.0,99.0
126,126,0.13,0.09299999999999999,99.0,99.0
127,127,0.12899999999999998,0.106,99.0,99.0
128,128,0.13699999999999998,0.105,99.0,99.0
129,129,0.149,0.10899999999999999,99.0,99.0
130,130,0.142,0.111,99.0,99.0
131,131,0.13899999999999998,0.11299999999999999,99.0,99.0
132,132,0.13199999999999998,0.10999999999999999,99.0,99.0
133,133,0.141,0.09799999999999999,99.0,99.0
134,134,0.14200000000000002,0.088,99.0,99.0
135,135,0.138,0.08399999999999999,99.0,99.0
136,136,0.134,0.07999999999999999,99.0,99.0
137,137,0.138,0.085,99.0,99.0
138,138,0.132,0.07799999999999999,99.0,99.0
139,139,0.13299999999999998,0.07999999999999999,99.0,99.0
140,140,0.12400000000000003,0.06899999999999999,99.0,99.0
141,141,0.13299999999999998,0.06499999999999999,99.0,99.0
142,142,0.125,0.064,99.0,99.0
143,143,0.12799999999999997,0.05399999999999999,99.0,99.0
144,144,0.12399999999999997,0.055,99.0,99.0
145,145,0.12199999999999997,0.057999999999999996,99.0,99.0
146,146,0.11899999999999997,0.053,99.0,99.0
147,147,0.11899999999999998,0.05899999999999998,99.0,99.0
148,148,0.11800000000000001,0.06299999999999999,99.0,99.0
149,149,0.124,0.06599999999999999,99.0,99.0
150,150,0.13299999999999998,0.05999999999999999,99.0,99.0
151,151,0.12999999999999998,0.05899999999999998,99.0,99.0
152,152,0.12099999999999998,0.074,99.0,99.0
153,153,0.12899999999999998,0.060999999999999985,99.0,99.0
154,154,0.12899999999999998,0.059,99.0,99.0
155,155,0.134,0.06199999999999999,99.0,99.0
156,156,0.127,0.059000000000000004,99.0,99.0
157,157,0.127,0.06599999999999999,99.0,99.0
158,158,0.12899999999999998,0.059,99.0,99.0
159,159,0.13699999999999998,0.05899999999999998,99.0,99.0
160,160,0.13999999999999999,0.057999999999999996,99.0,99.0
161,161,0.13299999999999998,0.051,99.0,99.0
162,162,0.135,0.039,99.0,99.0
163,163,0.141,0.040999999999999995,99.0,99.0
164,164,0.13799999999999998,0.048999999999999995,99.0,99.0
165,165,0.12999999999999998,0.041999999999999996,99.0,99.0
166,166,0.12499999999999999,0.037,99.0,99.0
167,167,0.132,0.038,99.0,99.0
168,168,0.13799999999999998,0.036000000000000004,99.0,99.0
169,169,0.133,0.03900000000000001,99.0,99.0
170,170,0.13599999999999998,0.038000000000000006,99.0,99.0
171,171,0.13399999999999998,0.028000000000000004,99.0,99.0
172,172,0.124,0.025000000000000005,99.0,99.0
173,173,0.12299999999999998,0.029000000000000005,99.0,99.0
174,174,0.11299999999999999,0.034,99.0,99.0
175,175,0.11799999999999997,0.035,99.0,99.0
176,176,0.11899999999999998,0.038000000000000006,99.0,99.0
177,177,0.11699999999999995,0.04499999999999999,99.0,99.0
178,178,0.10999999999999999,0.038000000000000006,99.0,99.0
179,179,0.105,0.036000000000000004,99.0,99.0
180,180,0.103,0.040999999999999995,99.0,99.0
181,181,0.092,0.038000000000000006,99.0,99.0
182,182,0.09899999999999999,0.036000000000000004,99.0,99.0
183,183,0.103,0.038000000000000006,99.0,99.0
