,ge,tc,tl,ln,dn
73,73,1.0659999999999996,1.0709999999999997,0.0,1.0
74,74,1.0659999999999996,1.0709999999999997,0.0,1.0
75,75,1.0649999999999997,1.0709999999999997,0.0,0.99
76,76,1.0649999999999997,1.0709999999999997,0.0,1.0
77,77,1.0649999999999997,1.0709999999999997,0.0,0.99
78,78,1.0649999999999997,1.0709999999999997,0.0,1.0
79,79,1.0649999999999997,1.0709999999999997,0.0,1.0
80,80,1.0629999999999997,1.0699999999999996,0.0,0.99
81,81,1.0639999999999998,1.0699999999999996,0.0,0.99
82,82,1.0639999999999998,1.0699999999999996,0.0,1.0
83,83,1.0639999999999998,1.0689999999999997,0.0,1.0
84,84,1.0639999999999998,1.0689999999999997,0.0,1.0
85,85,1.0639999999999998,1.0679999999999996,0.0,1.0
86,86,1.0639999999999998,1.0679999999999996,0.0,0.99
87,87,1.0639999999999998,1.0679999999999996,0.0,1.0
88,88,1.0639999999999998,1.0679999999999996,0.0,1.0
89,89,1.0619999999999998,1.0669999999999995,0.0,1.0
90,90,1.0609999999999997,1.0679999999999996,0.0,0.99
91,91,1.0609999999999997,1.0679999999999996,0.0,0.97
92,92,1.0609999999999997,1.0679999999999996,0.0,1.0
93,93,1.0579999999999998,1.0669999999999995,0.0,1.0
94,94,1.0579999999999998,1.0669999999999995,0.0,1.0
95,95,1.0589999999999997,1.0659999999999996,0.0,0.99
96,96,1.0589999999999997,1.0659999999999996,0.0,1.0
97,97,1.0579999999999996,1.0649999999999997,0.0,1.0
98,98,1.0579999999999996,1.0649999999999997,0.0,1.0
99,99,1.0579999999999996,1.0649999999999997,0.0,1.0
100,100,1.0579999999999996,1.0639999999999998,0.0,1.0
101,101,1.0579999999999996,1.0639999999999998,0.0,1.0
102,102,1.0559999999999996,1.0629999999999997,0.0,1.0
103,103,1.0569999999999995,1.0629999999999997,0.0,1.0
104,104,1.0539999999999998,1.0629999999999997,0.0,0.99
105,105,1.0539999999999998,1.0629999999999997,0.0,0.99
106,106,1.0529999999999997,1.0619999999999998,0.0,1.0
107,107,1.0529999999999997,1.0619999999999998,0.0,1.0
108,108,1.0529999999999997,1.0619999999999998,0.0,1.0
109,109,1.0509999999999997,1.0609999999999997,0.0,0.98
110,110,1.0519999999999996,1.0599999999999996,0.0,1.0
111,111,1.0519999999999996,1.0599999999999996,0.0,1.0
112,112,1.0509999999999997,1.0609999999999997,0.0,0.99
113,113,1.0509999999999997,1.0609999999999997,0.0,0.98
114,114,1.0509999999999997,1.0609999999999997,0.0,1.0
115,115,1.0509999999999997,1.0599999999999996,0.0,1.0
116,116,1.0519999999999996,1.0609999999999997,0.0,1.0
117,117,1.0509999999999997,1.0589999999999997,0.0,0.98
118,118,1.0519999999999998,1.0589999999999997,0.0,0.99
119,119,1.0519999999999998,1.0589999999999997,0.0,1.0
120,120,1.0509999999999997,1.0569999999999997,0.0,1.0
121,121,1.0509999999999997,1.0579999999999998,0.0,0.99
122,122,1.0499999999999998,1.0579999999999998,0.0,1.0
123,123,1.0509999999999997,1.0559999999999998,0.0,0.99
124,124,1.0509999999999997,1.055,0.0,1.0
125,125,1.0499999999999998,1.055,0.0,0.99
126,126,1.0499999999999998,1.055,0.0,1.0
127,127,1.0489999999999997,1.056,0.0,0.99
128,128,1.0489999999999997,1.056,0.0,1.0
129,129,1.0499999999999998,1.0539999999999998,0.0,1.0
130,130,1.0499999999999998,1.0539999999999998,0.0,0.98
131,131,1.0499999999999998,1.0539999999999998,0.0,1.0
132,132,1.0499999999999998,1.0539999999999998,0.0,1.0
133,133,1.0509999999999997,1.0539999999999998,0.0,0.99
134,134,1.0509999999999997,1.0539999999999998,0.0,0.99
135,135,1.0499999999999998,1.0539999999999998,0.0,0.99
136,136,1.0499999999999998,1.0539999999999998,0.0,0.99
137,137,1.0499999999999998,1.0539999999999998,0.0,0.97
138,138,1.0499999999999998,1.0539999999999998,0.0,0.99
139,139,1.0499999999999998,1.0539999999999998,0.0,1.0
140,140,1.0509999999999997,1.0539999999999998,0.0,0.99
141,141,1.0499999999999998,1.055,0.0,0.99
142,142,1.0499999999999998,1.055,0.0,0.98
143,143,1.0489999999999997,1.055,0.0,1.0
144,144,1.0479999999999996,1.053,0.0,1.0
145,145,1.0489999999999997,1.0519999999999998,0.0,1.0
146,146,1.0489999999999997,1.0519999999999998,0.0,1.0
147,147,1.0479999999999996,1.051,0.0,0.99
148,148,1.0469999999999997,1.051,0.0,1.0
149,149,1.0469999999999997,1.0489999999999997,0.0,0.99
150,150,1.0459999999999998,1.0489999999999997,0.0,1.0
151,151,1.0429999999999997,1.0479999999999998,0.0,0.99
152,152,1.0419999999999998,1.0459999999999998,0.0,0.99
153,153,1.0409999999999997,1.045,0.0,0.99
154,154,1.0399999999999998,1.0439999999999998,0.0,0.99
155,155,1.0389999999999997,1.043,0.0,0.97
156,156,1.0409999999999997,1.041,0.0,0.98
157,157,1.0409999999999997,1.041,0.0,0.97
158,158,1.0399999999999998,1.04,0.0,0.97
159,159,1.0379999999999998,1.039,0.0,0.98
160,160,1.0379999999999998,1.039,0.0,0.98
161,161,1.0369999999999997,1.0379999999999998,0.0,0.97
162,162,1.0369999999999997,1.0379999999999998,0.0,0.99
163,163,1.0339999999999998,1.036,0.0,0.98
164,164,1.0349999999999997,1.037,0.0,0.99
165,165,1.0349999999999997,1.037,0.0,0.99
166,166,1.0339999999999998,1.037,0.0,0.98
167,167,1.0349999999999997,1.036,0.0,1.0
168,168,1.0349999999999997,1.036,0.0,0.97
169,169,1.0339999999999998,1.036,0.0,1.0
170,170,1.0339999999999998,1.036,0.0,0.97
171,171,1.0339999999999998,1.036,0.0,0.97
172,172,1.0339999999999998,1.036,0.0,0.97
173,173,1.0319999999999998,1.037,0.0,0.96
174,174,1.0319999999999998,1.037,0.0,0.99
175,175,1.0319999999999998,1.037,0.0,1.0
176,176,1.0309999999999997,1.0379999999999998,0.0,1.0
177,177,1.0299999999999998,1.037,0.0,0.98
178,178,1.0299999999999998,1.037,0.0,0.98
179,179,1.0299999999999998,1.037,0.0,1.0
180,180,1.0289999999999997,1.036,0.0,0.98
181,181,1.0289999999999997,1.036,0.0,0.99
182,182,1.0289999999999997,1.036,0.0,0.97
183,183,1.0289999999999997,1.036,0.0,1.0
184,184,1.0289999999999997,1.036,0.0,0.98
185,185,1.0299999999999998,1.035,0.0,0.96
186,186,1.0289999999999997,1.0339999999999998,0.0,0.99
187,187,1.0289999999999997,1.0339999999999998,0.0,0.98
188,188,1.0299999999999998,1.033,0.0,1.0
189,189,1.0289999999999997,1.0339999999999998,0.0,0.98
190,190,1.0289999999999997,1.033,0.0,0.99
191,191,1.0299999999999998,1.033,0.0,0.95
192,192,1.0289999999999997,1.0339999999999998,0.0,1.0
193,193,1.0279999999999998,1.0339999999999998,0.0,1.0
194,194,1.0289999999999997,1.035,0.0,0.96
195,195,1.0289999999999997,1.035,0.0,0.96
196,196,1.0289999999999997,1.035,0.0,0.95
197,197,1.0269999999999997,1.0339999999999998,0.0,0.96
198,198,1.0259999999999996,1.033,0.0,0.99
199,199,1.0259999999999996,1.0319999999999998,0.0,1.0
200,200,1.0259999999999996,1.031,0.0,0.99
201,201,1.0259999999999996,1.031,0.0,1.0
202,202,1.0269999999999997,1.0319999999999998,0.0,0.98
203,203,1.0259999999999996,1.031,0.0,0.98
204,204,1.0249999999999997,1.0319999999999998,0.0,0.98
205,205,1.0239999999999998,1.0309999999999997,0.0,0.96
206,206,1.0239999999999998,1.0299999999999998,0.0,1.0
207,207,1.0239999999999998,1.0299999999999998,0.0,1.0
208,208,1.0239999999999998,1.0299999999999998,0.0,0.99
209,209,1.023,1.029,0.0,0.98
210,210,1.023,1.029,0.0,0.99
211,211,1.023,1.029,0.0,1.0
212,212,1.0239999999999998,1.0279999999999998,0.0,0.98
213,213,1.023,1.027,0.0,0.97
214,214,1.0219999999999998,1.0279999999999998,0.0,0.99
215,215,1.0219999999999998,1.028,0.0,0.98
216,216,1.0219999999999998,1.028,0.0,0.98
217,217,1.0219999999999998,1.028,0.0,0.98
218,218,1.0219999999999998,1.028,0.0,0.97
219,219,1.0219999999999998,1.028,0.0,0.98
220,220,1.023,1.027,0.0,0.96
221,221,1.0239999999999998,1.026,0.0,0.98
222,222,1.023,1.0270000000000001,0.0,0.99
223,223,1.0219999999999998,1.026,0.0,0.99
224,224,1.0219999999999998,1.026,0.0,0.98
225,225,1.0219999999999998,1.026,0.0,1.0
226,226,1.0219999999999998,1.026,0.0,0.98
227,227,1.021,1.026,0.0,0.98
228,228,1.021,1.026,0.0,0.97
229,229,1.0199999999999998,1.026,0.0,0.97
230,230,1.0189999999999997,1.025,0.0,0.96
231,231,1.0189999999999997,1.025,0.0,1.0
232,232,1.0179999999999998,1.024,0.0,0.96
233,233,1.0169999999999997,1.0230000000000001,0.0,0.97
234,234,1.0159999999999998,1.0230000000000001,0.0,0.99
235,235,1.0159999999999998,1.0230000000000001,0.0,0.96
