,ge,tc,tl,tf,ln
67,67,0.10099999999999999,0.028000000000000004,0.009000000000000001,99.0
68,68,0.10099999999999998,0.027000000000000003,0.011000000000000001,99.0
69,69,0.102,0.028000000000000004,0.012000000000000002,99.0
70,70,0.11599999999999999,0.027000000000000003,0.012000000000000002,99.0
71,71,0.11599999999999998,0.023000000000000003,0.013000000000000001,99.0
72,72,0.12299999999999997,0.018000000000000002,0.013000000000000001,99.0
73,73,0.11499999999999998,0.018000000000000002,0.013000000000000001,99.0
74,74,0.12699999999999997,0.017,0.014000000000000002,99.0
75,75,0.12599999999999997,0.015000000000000003,0.013999999999999999,99.0
76,76,0.13599999999999998,0.022000000000000002,0.02,99.0
77,77,0.14200000000000002,0.026000000000000006,0.018000000000000002,99.0
78,78,0.15200000000000002,0.023000000000000003,0.014000000000000002,99.0
79,79,0.16400000000000003,0.028000000000000004,0.013000000000000003,99.0
80,80,0.169,0.027000000000000003,0.009000000000000001,99.0
81,81,0.17600000000000005,0.022000000000000002,0.015000000000000003,99.0
82,82,0.18500000000000003,0.028000000000000004,0.013000000000000003,99.0
83,83,0.18600000000000003,0.030999999999999996,0.01,99.0
84,84,0.19200000000000003,0.027000000000000003,0.012000000000000002,99.0
85,85,0.20000000000000004,0.027000000000000003,0.006000000000000001,99.0
86,86,0.21700000000000003,0.019,0.004,99.0
87,87,0.22300000000000003,0.018000000000000002,0.005,99.0
88,88,0.23199999999999998,0.019000000000000003,0.007000000000000001,99.0
89,89,0.24,0.017,0.009000000000000001,99.0
90,90,0.24000000000000007,0.017,0.01,99.0
91,91,0.252,0.015,0.004,99.0
92,92,0.25900000000000006,0.012000000000000002,0.006000000000000001,99.0
93,93,0.27,0.015000000000000005,0.009000000000000001,99.0
94,94,0.27499999999999997,0.015,0.01,99.0
95,95,0.28300000000000003,0.017,0.012000000000000002,99.0
96,96,0.278,0.020000000000000004,0.013000000000000001,99.0
97,97,0.278,0.023000000000000007,0.007000000000000001,99.0
98,98,0.282,0.026000000000000002,0.005,99.0
99,99,0.286,0.018000000000000002,0.006,99.0
100,100,0.29100000000000004,0.019000000000000003,0.006,99.0
101,101,0.29700000000000004,0.021,0.007000000000000001,99.0
102,102,0.306,0.022000000000000002,0.008,99.0
103,103,0.30200000000000005,0.022000000000000002,0.012000000000000002,99.0
104,104,0.318,0.020000000000000004,0.011000000000000001,99.0
105,105,0.3299999999999999,0.019000000000000003,0.015,99.0
106,106,0.33699999999999997,0.02,0.014000000000000004,99.0
107,107,0.3439999999999999,0.017,0.012,99.0
108,108,0.34499999999999986,0.018000000000000002,0.009000000000000001,99.0
109,109,0.35700000000000004,0.011000000000000001,0.012000000000000002,99.0
110,110,0.35600000000000004,0.013000000000000001,0.015000000000000003,99.0
111,111,0.368,0.015,0.017,99.0
112,112,0.358,0.015,0.013999999999999999,99.0
113,113,0.358,0.022000000000000002,0.014000000000000002,99.0
114,114,0.353,0.024,0.012,99.0
115,115,0.3559999999999999,0.028000000000000004,0.012000000000000002,99.0
116,116,0.3539999999999999,0.030000000000000006,0.011000000000000001,99.0
117,117,0.35999999999999993,0.03,0.016,99.0
118,118,0.35700000000000004,0.035,0.017,99.0
119,119,0.36399999999999993,0.035,0.018000000000000002,99.0
120,120,0.37099999999999994,0.031000000000000007,0.022000000000000002,99.0
121,121,0.36999999999999994,0.033,0.023,99.0
122,122,0.37099999999999994,0.03300000000000001,0.025,99.0
123,123,0.3789999999999999,0.030000000000000006,0.022000000000000002,99.0
124,124,0.40199999999999997,0.04,0.031000000000000007,99.0
125,125,0.40699999999999986,0.04699999999999999,0.032,99.0
126,126,0.41199999999999987,0.046999999999999986,0.032,99.0
127,127,0.425,0.040999999999999995,0.035,99.0
128,128,0.434,0.039,0.034,99.0
129,129,0.45599999999999996,0.03,0.036,99.0
130,130,0.46099999999999997,0.028000000000000004,0.028999999999999998,99.0
131,131,0.45399999999999996,0.021,0.035,99.0
132,132,0.45199999999999996,0.023000000000000003,0.037000000000000005,99.0
133,133,0.48,0.025,0.044,99.0
134,134,0.529,0.018000000000000002,0.047,99.0
135,135,0.547,0.01,0.025000000000000005,75.4
136,136,0.5489999999999999,0.009000000000000001,0.019000000000000003,84.3
137,137,0.5569999999999999,0.009000000000000001,0.021,86.06
138,138,0.566,0.008,0.015,85.48
139,139,0.571,0.008,0.017,86.6
140,140,0.571,0.01,0.02,87.2
141,141,0.571,0.01,0.017,85.04
142,142,0.5769999999999998,0.009000000000000001,0.022000000000000002,85.54
143,143,0.579,0.008,0.021,85.92
144,144,0.577,0.009000000000000001,0.026000000000000002,86.64
145,145,0.583,0.009000000000000001,0.026000000000000002,84.08
146,146,0.589,0.009000000000000001,0.026000000000000002,84.34
147,147,0.586,0.009,0.031,84.28
148,148,0.596,0.01,0.032,83.72
149,149,0.596,0.012000000000000002,0.030000000000000006,82.52
150,150,0.598,0.012000000000000002,0.026000000000000002,78.74
151,151,0.598,0.014000000000000004,0.026000000000000002,78.96
152,152,0.6,0.014000000000000002,0.024000000000000004,77.06
153,153,0.599,0.012000000000000002,0.023000000000000003,77.62
154,154,0.6,0.011000000000000001,0.022000000000000002,79.48
155,155,0.598,0.011000000000000001,0.020000000000000004,80.64
156,156,0.597,0.011000000000000001,0.017,80.92
157,157,0.596,0.011000000000000001,0.017,80.08
158,158,0.597,0.012000000000000002,0.016,80.1
159,159,0.5979999999999999,0.012000000000000002,0.017,80.1
160,160,0.5989999999999999,0.012000000000000002,0.016,80.1
161,161,0.6029999999999999,0.013000000000000003,0.016,80.1
162,162,0.6089999999999999,0.014000000000000002,0.017,78.32
163,163,0.6129999999999999,0.015,0.017,76.56
164,164,0.612,0.014000000000000002,0.018000000000000002,75.68
165,165,0.614,0.014000000000000002,0.017,76.56
166,166,0.614,0.014000000000000002,0.017,76.56
167,167,0.611,0.014000000000000002,0.017,76.56
168,168,0.611,0.015000000000000003,0.017,76.56
169,169,0.606,0.016,0.018000000000000002,75.52
170,170,0.6099999999999999,0.017,0.019000000000000003,74.22
171,171,0.605,0.016,0.018000000000000002,72.22
172,172,0.605,0.015,0.018000000000000002,73.98
173,173,0.606,0.017,0.018000000000000002,74.82
174,174,0.604,0.018000000000000002,0.019000000000000003,73.1
175,175,0.609,0.018000000000000002,0.019000000000000003,71.4
176,176,0.608,0.018000000000000002,0.019000000000000003,71.4
177,177,0.607,0.019000000000000003,0.019000000000000003,71.4
178,178,0.609,0.018000000000000002,0.019000000000000003,70.52
179,179,0.6079999999999999,0.019000000000000003,0.020000000000000004,71.4
180,180,0.607,0.018000000000000002,0.019000000000000003,71.4
181,181,0.607,0.019,0.019000000000000003,73.1
182,182,0.609,0.019000000000000003,0.021,72.1
183,183,0.607,0.018000000000000002,0.020000000000000004,71.34
184,184,0.603,0.017,0.019999999999999997,73.06
185,185,0.6029999999999999,0.018000000000000002,0.019999999999999997,73.1
186,186,0.602,0.017,0.019999999999999997,72.18
187,187,0.604,0.018000000000000002,0.021,73.1
188,188,0.606,0.018000000000000002,0.023000000000000003,71.4
189,189,0.606,0.018000000000000002,0.023000000000000003,71.4
190,190,0.606,0.018000000000000002,0.022000000000000002,71.4
191,191,0.606,0.018000000000000002,0.023000000000000003,71.4
192,192,0.6059999999999999,0.02,0.027000000000000003,71.4
193,193,0.607,0.019000000000000003,0.023000000000000003,68.84
194,194,0.6079999999999999,0.019000000000000003,0.023000000000000003,69.7
195,195,0.608,0.019000000000000003,0.022000000000000002,69.7
196,196,0.606,0.02,0.024000000000000004,69.72
197,197,0.6079999999999999,0.02,0.025000000000000005,68.06
198,198,0.606,0.02,0.027000000000000003,68.06
199,199,0.606,0.021,0.025,68.68
200,200,0.6079999999999999,0.02,0.023,68.9
201,201,0.606,0.021,0.025,69.72
202,202,0.605,0.021,0.025,68.06
203,203,0.607,0.022,0.025,68.06
204,204,0.6089999999999999,0.022000000000000006,0.024000000000000004,66.42
205,205,0.612,0.021,0.027000000000000003,65.62
206,206,0.613,0.02,0.027000000000000003,66.12
207,207,0.61,0.02,0.023000000000000003,68.02
208,208,0.609,0.021,0.025,68.06
209,209,0.608,0.022000000000000002,0.027000000000000003,66.42
210,210,0.609,0.022000000000000002,0.029000000000000005,64.8
211,211,0.614,0.022000000000000002,0.029000000000000005,64.8
212,212,0.616,0.024000000000000004,0.031,64.8
213,213,0.6179999999999999,0.023000000000000003,0.03,62.24
214,214,0.618,0.024000000000000004,0.031,63.14
215,215,0.629,0.023000000000000003,0.032,63.2
216,216,0.639,0.023000000000000003,0.029000000000000005,63.8
217,217,0.638,0.024000000000000004,0.031000000000000007,64.78
218,218,0.6350000000000001,0.024000000000000004,0.033,64.0
219,219,0.638,0.025000000000000005,0.03,63.12
220,220,0.638,0.025000000000000005,0.03,61.62
221,221,0.638,0.026000000000000002,0.031,61.62
222,222,0.6350000000000001,0.027000000000000003,0.034,60.06
223,223,0.634,0.027000000000000003,0.036000000000000004,58.52
224,224,0.644,0.025000000000000005,0.036000000000000004,58.52
225,225,0.637,0.025000000000000005,0.03900000000000001,59.86
226,226,0.636,0.026000000000000002,0.040999999999999995,60.88
227,227,0.6359999999999999,0.027000000000000003,0.042,59.54
228,228,0.639,0.026000000000000002,0.044000000000000004,59.0
229,229,0.635,0.026000000000000002,0.043,59.88
230,230,0.635,0.026000000000000002,0.047000000000000014,60.06
231,231,0.6399999999999999,0.026000000000000002,0.048,60.06
232,232,0.6439999999999998,0.026000000000000002,0.043,60.06
233,233,0.6559999999999999,0.026000000000000002,0.037000000000000005,60.06
234,234,0.6589999999999999,0.026000000000000002,0.042,60.06
235,235,0.6599999999999998,0.026000000000000002,0.049,60.06
236,236,0.672,0.027000000000000003,0.051000000000000004,60.06
237,237,0.6770000000000002,0.027000000000000003,0.057999999999999996,58.52
238,238,0.669,0.028000000000000004,0.053,58.52
239,239,0.6689999999999999,0.028000000000000004,0.054000000000000006,57.0
240,240,0.675,0.028000000000000004,0.064,57.0
241,241,0.6789999999999998,0.028000000000000004,0.05900000000000001,57.0
242,242,0.68,0.028000000000000004,0.057999999999999996,57.0
243,243,0.6859999999999999,0.028000000000000004,0.061,57.0
244,244,0.6789999999999999,0.029000000000000005,0.055,57.0
245,245,0.6809999999999998,0.03,0.055999999999999994,57.0
246,246,0.6809999999999998,0.03200000000000001,0.063,55.5
247,247,0.6669999999999999,0.032,0.06,53.86
248,248,0.6639999999999999,0.032,0.062,53.36
249,249,0.6669999999999999,0.031,0.064,53.54
250,250,0.672,0.032,0.064,54.36
251,251,0.6679999999999999,0.031000000000000007,0.064,53.02
252,252,0.6659999999999998,0.031000000000000007,0.055999999999999994,53.64
253,253,0.6669999999999999,0.032,0.055,53.92
254,254,0.6639999999999998,0.032,0.051,52.54
255,255,0.6599999999999998,0.033,0.05,52.56
256,256,0.6569999999999999,0.033,0.05600000000000001,51.12
257,257,0.6599999999999998,0.033,0.05,51.12
258,258,0.666,0.033,0.046000000000000006,51.12
259,259,0.6679999999999999,0.034,0.044000000000000004,51.12
260,260,0.6609999999999999,0.034,0.043,50.42
261,261,0.6649999999999998,0.034,0.040999999999999995,50.44
262,262,0.6659999999999999,0.033,0.043,50.36
263,263,0.675,0.034,0.048,51.12
264,264,0.6819999999999999,0.033,0.049,49.7
265,265,0.6819999999999999,0.033,0.051000000000000004,49.7
266,266,0.686,0.033,0.046000000000000006,49.7
267,267,0.679,0.032,0.04300000000000001,50.16
268,268,0.68,0.033,0.042,51.08
269,269,0.679,0.034,0.042,49.7
270,270,0.685,0.038000000000000006,0.04100000000000001,48.92
271,271,0.6839999999999999,0.040999999999999995,0.042,49.24
272,272,0.6869999999999998,0.03900000000000001,0.042,45.56
273,273,0.6919999999999998,0.037000000000000005,0.042,46.82
274,274,0.701,0.038000000000000006,0.043,48.3
275,275,0.706,0.039,0.044000000000000004,46.92
276,276,0.706,0.039,0.044000000000000004,46.92
277,277,0.7019999999999998,0.039,0.044000000000000004,46.92
278,278,0.704,0.039,0.044000000000000004,46.92
279,279,0.71,0.039,0.044000000000000004,46.92
280,280,0.7149999999999997,0.039,0.044000000000000004,46.92
281,281,0.716,0.04,0.045,46.92
282,282,0.716,0.038000000000000006,0.047,46.92
283,283,0.7219999999999999,0.039,0.045,47.2
284,284,0.7239999999999998,0.04,0.045,47.66
285,285,0.7299999999999999,0.039,0.045,46.78
286,286,0.7309999999999998,0.039,0.045,47.58
287,287,0.7289999999999999,0.038000000000000006,0.045,47.62
288,288,0.718,0.04,0.047,48.3
289,289,0.7190000000000001,0.04,0.047,46.3
290,290,0.7269999999999999,0.040999999999999995,0.047,46.18
