,ge,tc,tl,tf,ln,dn
241,241,0.069,0.073,0.0,99.0,0.0
242,242,0.067,0.06199999999999999,0.0,99.0,0.0
243,243,0.067,0.071,0.001,99.0,0.0
244,244,0.059,0.07799999999999999,0.002,99.0,0.0
245,245,0.06499999999999999,0.07399999999999998,0.001,99.0,0.0
246,246,0.064,0.072,0.001,99.0,0.0
247,247,0.05999999999999999,0.06899999999999999,0.002,99.0,0.0
248,248,0.059,0.06899999999999999,0.006000000000000001,99.0,0.0
249,249,0.063,0.066,0.009000000000000001,99.0,0.0
250,250,0.06799999999999999,0.065,0.008,99.0,0.0
251,251,0.07999999999999999,0.067,0.007000000000000001,99.0,0.0
252,252,0.085,0.06599999999999999,0.006000000000000001,99.0,0.0
253,253,0.088,0.07699999999999999,0.006000000000000001,99.0,0.0
254,254,0.09399999999999999,0.073,0.009000000000000001,99.0,0.0
255,255,0.08399999999999999,0.06699999999999999,0.012000000000000002,99.0,0.0
256,256,0.091,0.06899999999999999,0.014000000000000002,99.0,0.0
257,257,0.09300000000000001,0.06599999999999999,0.013999999999999999,99.0,0.0
258,258,0.103,0.06899999999999999,0.017,99.0,0.0
259,259,0.099,0.07199999999999998,0.018000000000000002,99.0,0.0
260,260,0.094,0.06499999999999999,0.02,99.0,0.0
261,261,0.08599999999999998,0.06599999999999999,0.023000000000000003,99.0,0.0
262,262,0.08099999999999997,0.06299999999999999,0.026000000000000006,99.0,0.0
263,263,0.085,0.05999999999999999,0.032,99.0,0.0
264,264,0.08899999999999998,0.06099999999999998,0.028000000000000004,99.0,0.0
265,265,0.091,0.06399999999999997,0.028999999999999998,99.0,0.0
266,266,0.09699999999999999,0.06299999999999999,0.032,99.0,0.0
267,267,0.096,0.06699999999999999,0.03200000000000001,99.0,0.0
268,268,0.09699999999999999,0.060999999999999985,0.03900000000000001,99.0,0.0
269,269,0.09399999999999999,0.056999999999999995,0.046,99.0,0.0
270,270,0.09999999999999998,0.053999999999999986,0.039999999999999994,99.0,0.0
271,271,0.09799999999999999,0.048,0.04799999999999999,99.0,0.0
272,272,0.09299999999999999,0.04699999999999999,0.046,99.0,0.0
273,273,0.094,0.043,0.04299999999999999,99.0,0.0
274,274,0.09399999999999999,0.04799999999999999,0.03900000000000001,99.0,0.0
275,275,0.08499999999999998,0.048999999999999995,0.048,99.0,0.0
276,276,0.086,0.05399999999999999,0.04800000000000001,99.0,0.0
277,277,0.08799999999999997,0.05899999999999998,0.06,99.0,0.0
278,278,0.08599999999999998,0.06599999999999999,0.06,99.0,0.0
279,279,0.091,0.061,0.045999999999999985,99.0,0.0
280,280,0.096,0.05999999999999999,0.05,99.0,0.0
281,281,0.10399999999999998,0.065,0.04499999999999999,99.0,0.0
282,282,0.103,0.06699999999999999,0.049,99.0,0.0
283,283,0.103,0.07599999999999998,0.05,99.0,0.0
284,284,0.106,0.081,0.053,99.0,0.0
285,285,0.10599999999999998,0.074,0.065,99.0,0.0
286,286,0.10999999999999999,0.08099999999999997,0.066,99.0,0.0
287,287,0.111,0.07400000000000001,0.07899999999999999,99.0,0.0
288,288,0.11199999999999999,0.073,0.08900000000000001,99.0,0.0
289,289,0.115,0.08399999999999999,0.079,99.0,0.0
290,290,0.121,0.08800000000000001,0.073,99.0,0.0
291,291,0.12100000000000001,0.095,0.068,99.0,0.0
292,292,0.12499999999999999,0.098,0.059,99.0,0.0
293,293,0.115,0.10499999999999998,0.05199999999999999,99.0,0.0
294,294,0.109,0.10599999999999998,0.053999999999999986,99.0,0.0
295,295,0.11699999999999998,0.11,0.04699999999999999,99.0,0.0
296,296,0.11599999999999998,0.10999999999999999,0.04899999999999999,99.0,0.0
297,297,0.11900000000000001,0.102,0.04999999999999999,99.0,0.0
298,298,0.11399999999999999,0.106,0.04799999999999999,99.0,0.0
299,299,0.11299999999999999,0.10999999999999996,0.04299999999999999,99.0,0.0
300,300,0.10799999999999998,0.09999999999999998,0.039999999999999994,99.0,0.0
301,301,0.10499999999999998,0.10099999999999998,0.045,99.0,0.0
302,302,0.107,0.096,0.046,99.0,0.0
303,303,0.111,0.09999999999999998,0.045,99.0,0.0
304,304,0.107,0.106,0.045999999999999985,99.0,0.0
305,305,0.10899999999999999,0.11599999999999999,0.04699999999999999,99.0,0.0
306,306,0.10099999999999998,0.11299999999999999,0.05199999999999999,99.0,0.0
307,307,0.08999999999999998,0.10799999999999998,0.051,99.0,0.0
308,308,0.08599999999999998,0.09999999999999998,0.051,99.0,0.0
309,309,0.09299999999999999,0.085,0.05299999999999999,99.0,0.0
310,310,0.09899999999999999,0.085,0.055999999999999994,99.0,0.0
311,311,0.10999999999999999,0.08299999999999999,0.05299999999999999,99.0,0.0
312,312,0.11299999999999999,0.08699999999999998,0.051,99.0,0.0
313,313,0.10999999999999999,0.075,0.04899999999999999,99.0,0.0
314,314,0.10399999999999998,0.077,0.056999999999999995,99.0,0.0
315,315,0.10599999999999998,0.084,0.05999999999999999,99.0,0.0
316,316,0.10099999999999999,0.08299999999999999,0.05799999999999999,99.0,0.0
317,317,0.10099999999999998,0.075,0.056999999999999995,99.0,0.0
318,318,0.11299999999999999,0.06999999999999999,0.05299999999999999,99.0,0.0
319,319,0.111,0.06999999999999999,0.04999999999999998,99.0,0.0
320,320,0.11399999999999999,0.07799999999999999,0.05299999999999999,99.0,0.0
321,321,0.11199999999999999,0.079,0.054000000000000006,99.0,0.0
322,322,0.11599999999999999,0.08299999999999999,0.04799999999999999,99.0,0.0
323,323,0.11699999999999999,0.075,0.04799999999999999,99.0,0.0
324,324,0.121,0.07599999999999998,0.045,99.0,0.0
325,325,0.128,0.06699999999999999,0.045999999999999985,99.0,0.0
326,326,0.12599999999999997,0.061,0.04499999999999999,99.0,0.0
327,327,0.12699999999999997,0.06499999999999999,0.04799999999999999,99.0,0.0
328,328,0.14299999999999996,0.06299999999999999,0.046,99.0,0.0
329,329,0.13099999999999998,0.06199999999999999,0.039,99.0,0.0
330,330,0.13,0.06699999999999999,0.040999999999999995,99.0,0.0
331,331,0.12899999999999998,0.060999999999999985,0.04999999999999999,99.0,0.0
332,332,0.11599999999999998,0.05799999999999999,0.05199999999999999,99.0,0.0
333,333,0.11199999999999997,0.05799999999999999,0.05099999999999999,99.0,0.0
334,334,0.11099999999999996,0.051,0.05,99.0,0.0
335,335,0.11099999999999997,0.04899999999999999,0.04800000000000001,99.0,0.0
336,336,0.09799999999999998,0.05799999999999999,0.048999999999999995,99.0,0.0
337,337,0.096,0.06199999999999999,0.05699999999999998,99.0,0.0
338,338,0.09999999999999998,0.062,0.06499999999999999,99.0,0.0
339,339,0.111,0.055,0.059999999999999984,99.0,0.0
340,340,0.11999999999999998,0.061,0.059999999999999984,99.0,0.0
341,341,0.11399999999999999,0.063,0.05899999999999998,99.0,0.0
342,342,0.11399999999999999,0.07100000000000001,0.05799999999999999,99.0,0.0
343,343,0.11699999999999999,0.059000000000000004,0.05899999999999998,99.0,0.0
344,344,0.11299999999999999,0.056999999999999995,0.05799999999999999,99.0,0.0
345,345,0.111,0.061,0.05699999999999998,99.0,0.0
346,346,0.11599999999999998,0.076,0.06599999999999999,99.0,0.0
347,347,0.132,0.08199999999999999,0.06499999999999999,99.0,0.0
348,348,0.13599999999999998,0.08599999999999998,0.06899999999999999,99.0,0.0
349,349,0.13699999999999998,0.09799999999999999,0.07099999999999998,99.0,0.0
350,350,0.13899999999999996,0.09499999999999999,0.07499999999999998,99.0,0.0
351,351,0.13699999999999998,0.09799999999999999,0.07699999999999997,99.0,0.0
352,352,0.13499999999999995,0.08899999999999998,0.07999999999999999,99.0,0.0
353,353,0.12899999999999998,0.102,0.08199999999999999,99.0,0.0
354,354,0.12999999999999998,0.102,0.07899999999999999,99.0,0.0
355,355,0.135,0.08899999999999998,0.08299999999999999,99.0,0.0
356,356,0.135,0.08499999999999998,0.08499999999999998,99.0,0.0
357,357,0.12900000000000003,0.07599999999999998,0.08699999999999998,99.0,0.0
358,358,0.13299999999999998,0.06999999999999998,0.08399999999999999,99.0,0.0
359,359,0.145,0.06699999999999999,0.08299999999999999,99.0,0.0
360,360,0.13799999999999998,0.055999999999999994,0.08199999999999998,99.0,0.0
361,361,0.14,0.053999999999999986,0.08699999999999998,99.0,0.0
362,362,0.152,0.05499999999999999,0.08999999999999998,99.0,0.0
363,363,0.14400000000000002,0.055999999999999994,0.09499999999999999,99.0,0.0
364,364,0.15,0.06899999999999999,0.09499999999999996,99.0,0.0
365,365,0.153,0.06399999999999999,0.09300000000000001,99.0,0.0
366,366,0.159,0.05899999999999998,0.09099999999999998,99.0,0.0
367,367,0.158,0.06699999999999999,0.08899999999999998,99.0,0.0
368,368,0.14600000000000002,0.07200000000000001,0.08999999999999998,99.0,0.0
369,369,0.14800000000000002,0.061,0.092,99.0,0.0
370,370,0.14,0.05699999999999998,0.09899999999999999,99.0,0.0
371,371,0.12399999999999999,0.06299999999999999,0.102,99.0,0.0
372,372,0.11599999999999999,0.059,0.09599999999999997,99.0,0.0
373,373,0.12299999999999998,0.06899999999999999,0.103,99.0,0.0
374,374,0.12899999999999998,0.071,0.105,99.0,0.0
375,375,0.11800000000000001,0.065,0.11199999999999999,99.0,0.0
376,376,0.121,0.064,0.115,99.0,0.0
377,377,0.126,0.066,0.11699999999999999,99.0,0.0
378,378,0.107,0.06299999999999999,0.11399999999999999,99.0,0.0
379,379,0.11599999999999999,0.05999999999999999,0.11199999999999999,99.0,0.0
380,380,0.12899999999999998,0.059,0.11399999999999999,99.0,0.0
381,381,0.13899999999999998,0.057,0.11199999999999999,99.0,0.0
