,ge,tc,tf,ln
150,150,0.21700000000000003,0.14900000000000002,0.06
151,151,0.21500000000000002,0.14900000000000002,0.06
152,152,0.21600000000000003,0.14800000000000002,0.12
153,153,0.21400000000000002,0.15000000000000002,0.12
154,154,0.215,0.14900000000000002,0.12
155,155,0.21600000000000003,0.15000000000000002,0.2
156,156,0.218,0.15000000000000002,0.2
157,157,0.21900000000000003,0.149,0.2
158,158,0.21700000000000003,0.149,0.3
159,159,0.21800000000000005,0.15000000000000002,0.3
160,160,0.21700000000000003,0.15100000000000002,0.3
161,161,0.21700000000000003,0.15100000000000002,0.3
162,162,0.21600000000000003,0.15000000000000002,0.3
163,163,0.21600000000000003,0.15000000000000002,0.42
164,164,0.214,0.15000000000000002,0.56
165,165,0.214,0.14900000000000002,0.56
166,166,0.215,0.14900000000000002,0.72
167,167,0.21400000000000002,0.15000000000000002,0.72
168,168,0.215,0.15000000000000002,0.72
169,169,0.21400000000000002,0.15000000000000002,0.72
170,170,0.21400000000000002,0.14900000000000002,0.72
171,171,0.21600000000000003,0.14900000000000002,0.9
172,172,0.21600000000000005,0.14900000000000002,0.9
173,173,0.21600000000000005,0.14900000000000002,0.9
174,174,0.21700000000000003,0.14900000000000002,0.9
175,175,0.21700000000000003,0.14900000000000002,0.9
176,176,0.215,0.15100000000000002,0.9
177,177,0.21400000000000002,0.15100000000000002,0.72
178,178,0.213,0.15000000000000002,0.72
179,179,0.21200000000000002,0.15000000000000002,0.72
180,180,0.21,0.15000000000000002,0.72
181,181,0.21,0.15000000000000002,0.72
182,182,0.21100000000000002,0.15200000000000002,0.72
183,183,0.21100000000000002,0.15200000000000002,0.72
184,184,0.21100000000000002,0.15200000000000002,0.72
185,185,0.21200000000000002,0.15300000000000002,0.72
186,186,0.213,0.15400000000000003,0.56
187,187,0.213,0.154,0.56
188,188,0.21,0.154,0.72
189,189,0.21,0.15500000000000003,0.72
190,190,0.21,0.15600000000000003,0.72
191,191,0.209,0.15600000000000003,0.72
192,192,0.20700000000000002,0.15500000000000003,0.72
193,193,0.20600000000000002,0.15600000000000003,0.9
194,194,0.20700000000000002,0.157,0.9
195,195,0.205,0.15800000000000003,0.9
196,196,0.207,0.159,0.9
197,197,0.20900000000000002,0.159,0.9
198,198,0.20900000000000002,0.159,0.9
199,199,0.21200000000000002,0.159,0.9
200,200,0.21400000000000002,0.158,1.1
201,201,0.215,0.158,1.32
202,202,0.21600000000000003,0.158,1.32
203,203,0.22000000000000003,0.158,1.56
204,204,0.21600000000000005,0.158,1.82
205,205,0.23900000000000002,0.14400000000000002,75.2
206,206,0.24600000000000002,0.17700000000000002,99.0
207,207,0.245,0.17800000000000005,0.12
208,208,0.24600000000000002,0.17800000000000005,0.12
209,209,0.24100000000000002,0.17800000000000005,0.12
210,210,0.24600000000000002,0.17700000000000002,0.12
211,211,0.24200000000000002,0.17600000000000005,0.2
212,212,0.23900000000000002,0.17700000000000002,0.2
213,213,0.23900000000000002,0.17700000000000007,0.2
214,214,0.243,0.17600000000000005,0.3
215,215,0.24100000000000005,0.17700000000000002,0.3
216,216,0.23900000000000005,0.17500000000000004,0.3
217,217,0.23600000000000002,0.17600000000000002,0.42
218,218,0.23600000000000002,0.17600000000000002,0.42
219,219,0.23600000000000002,0.17600000000000002,0.42
220,220,0.237,0.17600000000000002,0.42
221,221,0.23700000000000002,0.17600000000000002,0.56
222,222,0.23400000000000007,0.17800000000000005,0.56
223,223,0.23400000000000007,0.17800000000000005,0.56
224,224,0.23500000000000004,0.17700000000000002,0.56
225,225,0.23400000000000007,0.17600000000000002,0.72
226,226,0.23800000000000004,0.175,0.72
227,227,0.23700000000000002,0.17400000000000002,0.72
228,228,0.28200000000000003,0.17300000000000007,99.0
229,229,0.277,0.17300000000000007,0.12
230,230,0.271,0.17200000000000007,0.12
231,231,0.272,0.17300000000000007,0.12
232,232,0.276,0.17200000000000007,0.12
233,233,0.275,0.17500000000000004,0.12
234,234,0.28500000000000003,0.17500000000000007,0.12
235,235,0.28600000000000003,0.17400000000000004,0.12
236,236,0.28600000000000003,0.17400000000000004,0.12
237,237,0.28700000000000003,0.17300000000000004,0.12
238,238,0.28500000000000003,0.171,0.2
239,239,0.28,0.17000000000000004,0.42
240,240,0.30400000000000005,0.18300000000000005,99.0
241,241,0.3,0.17900000000000005,0.2
242,242,0.295,0.18,0.72
243,243,0.29400000000000004,0.18,0.72
244,244,0.29900000000000004,0.17900000000000002,0.72
245,245,0.29600000000000004,0.17900000000000002,0.9
246,246,0.29600000000000004,0.17900000000000002,0.9
247,247,0.29700000000000004,0.17800000000000005,0.9
248,248,0.30000000000000004,0.17900000000000002,0.9
249,249,0.30500000000000005,0.17900000000000002,0.9
250,250,0.306,0.17900000000000002,0.9
251,251,0.30400000000000005,0.17900000000000002,0.9
252,252,0.30500000000000005,0.17900000000000002,0.9
253,253,0.30500000000000005,0.18000000000000005,0.9
254,254,0.30500000000000005,0.18000000000000005,0.9
255,255,0.305,0.18000000000000005,0.9
256,256,0.306,0.17900000000000005,0.9
257,257,0.303,0.17900000000000005,0.9
258,258,0.30400000000000005,0.17900000000000005,0.9
259,259,0.30400000000000005,0.17900000000000005,0.9
260,260,0.30400000000000005,0.17900000000000005,0.9
261,261,0.305,0.17800000000000005,0.9
262,262,0.305,0.17800000000000005,1.1
263,263,0.306,0.17700000000000002,1.1
264,264,0.305,0.17800000000000005,1.1
265,265,0.306,0.17900000000000005,1.1
266,266,0.306,0.17900000000000005,1.1
267,267,0.30700000000000005,0.18000000000000005,1.1
268,268,0.30700000000000005,0.18000000000000005,0.9
269,269,0.309,0.18000000000000008,0.9
270,270,0.30999999999999994,0.18100000000000005,1.1
271,271,0.30999999999999994,0.18100000000000005,1.1
272,272,0.30999999999999994,0.18100000000000005,1.1
273,273,0.309,0.18000000000000005,1.1
274,274,0.308,0.18100000000000005,1.1
275,275,0.308,0.18100000000000005,1.1
276,276,0.307,0.18200000000000005,1.1
277,277,0.307,0.18200000000000005,0.9
278,278,0.308,0.18100000000000005,0.9
279,279,0.309,0.18000000000000008,0.9
280,280,0.308,0.18100000000000005,1.1
281,281,0.308,0.18100000000000005,1.1
282,282,0.307,0.18000000000000008,1.1
283,283,0.308,0.18100000000000005,1.1
284,284,0.309,0.18200000000000002,1.1
285,285,0.309,0.18200000000000002,1.1
286,286,0.308,0.183,1.1
287,287,0.308,0.18500000000000003,0.72
288,288,0.308,0.18500000000000003,0.72
289,289,0.308,0.18500000000000003,0.72
290,290,0.306,0.18700000000000003,0.72
291,291,0.30400000000000005,0.18500000000000003,0.72
292,292,0.30499999999999994,0.18500000000000003,1.1
293,293,0.302,0.18700000000000006,1.1
294,294,0.299,0.18900000000000003,1.1
295,295,0.3,0.188,1.1
296,296,0.30000000000000004,0.188,1.32
297,297,0.29900000000000004,0.18900000000000003,1.32
298,298,0.29900000000000004,0.18900000000000003,1.32
299,299,0.29900000000000004,0.18900000000000003,1.32
