,ge,tc,tl,ln,dn
151,151,0.012000000000000002,0.005,99.0,0.0
152,152,0.015000000000000003,0.007000000000000001,99.0,0.0
153,153,0.01,0.004,99.0,0.0
154,154,0.009000000000000001,0.0030000000000000005,99.0,0.0
155,155,0.011000000000000001,0.0,99.0,0.0
156,156,0.010000000000000002,0.0,99.0,0.0
157,157,0.014000000000000002,0.001,99.0,0.0
158,158,0.019,0.002,99.0,0.0
159,159,0.02,0.002,99.0,0.0
160,160,0.021,0.002,99.0,0.0
161,161,0.011000000000000001,0.002,99.0,0.0
162,162,0.009000000000000001,0.002,99.0,0.0
163,163,0.016,0.0030000000000000005,99.0,0.0
164,164,0.014000000000000002,0.0030000000000000005,99.0,0.0
165,165,0.015,0.0030000000000000005,99.0,0.0
166,166,0.02,0.004,99.0,0.0
167,167,0.023000000000000003,0.005,99.0,0.0
168,168,0.029000000000000005,0.0030000000000000005,99.0,0.0
169,169,0.028000000000000004,0.005,99.0,0.0
170,170,0.031000000000000007,0.006,99.0,0.0
171,171,0.027000000000000003,0.007000000000000001,99.0,0.0
172,172,0.031000000000000007,0.006000000000000001,99.0,0.0
173,173,0.030000000000000006,0.005,99.0,0.0
174,174,0.034,0.007000000000000001,99.0,0.0
175,175,0.030000000000000006,0.009000000000000001,99.0,0.0
176,176,0.030000000000000006,0.010000000000000002,99.0,0.0
177,177,0.034,0.009000000000000001,99.0,0.0
178,178,0.03900000000000001,0.008,99.0,0.0
179,179,0.042,0.006,99.0,0.0
180,180,0.051000000000000004,0.005,99.0,0.0
181,181,0.05299999999999999,0.005,99.0,0.0
182,182,0.05199999999999999,0.008,99.0,0.0
183,183,0.044000000000000004,0.008,99.0,0.0
184,184,0.044,0.006000000000000001,99.0,0.0
185,185,0.041999999999999996,0.007000000000000001,99.0,0.0
186,186,0.041999999999999996,0.004,99.0,0.0
187,187,0.039,0.008,99.0,0.0
188,188,0.04299999999999999,0.006999999999999999,99.0,0.0
189,189,0.049,0.006000000000000001,99.0,0.0
190,190,0.055,0.009,99.0,0.0
191,191,0.056999999999999995,0.009000000000000001,99.0,0.0
192,192,0.05799999999999999,0.008,99.0,0.0
193,193,0.053999999999999986,0.006000000000000001,99.0,0.0
194,194,0.05199999999999999,0.005,99.0,0.0
195,195,0.059,0.005,99.0,0.0
196,196,0.059,0.004,99.0,0.0
197,197,0.060999999999999985,0.004,99.0,0.0
198,198,0.059,0.002,99.0,0.0
199,199,0.059,0.001,99.0,0.0
200,200,0.048999999999999995,0.001,99.0,0.0
201,201,0.05499999999999998,0.002,99.0,0.0
202,202,0.053999999999999986,0.001,99.0,0.0
203,203,0.05599999999999999,0.001,99.0,0.0
204,204,0.05599999999999999,0.0030000000000000005,99.0,0.0
205,205,0.055999999999999994,0.005,99.0,0.0
206,206,0.05699999999999998,0.004,99.0,0.0
207,207,0.056999999999999995,0.01,99.0,0.0
208,208,0.059999999999999984,0.012,99.0,0.0
209,209,0.06299999999999999,0.013000000000000003,99.0,0.0
210,210,0.056999999999999995,0.017,99.0,0.0
211,211,0.05999999999999999,0.018000000000000002,99.0,0.0
212,212,0.05499999999999999,0.013000000000000001,99.0,0.0
213,213,0.05399999999999999,0.017,99.0,0.0
214,214,0.05299999999999999,0.012000000000000002,99.0,0.0
215,215,0.05099999999999999,0.009000000000000001,99.0,0.0
216,216,0.05599999999999999,0.014000000000000004,99.0,0.0
217,217,0.06199999999999999,0.011000000000000001,99.0,0.0
218,218,0.06499999999999999,0.011000000000000001,99.0,0.0
219,219,0.06399999999999999,0.013000000000000001,99.0,0.0
220,220,0.06599999999999998,0.012000000000000002,99.0,0.0
221,221,0.06599999999999998,0.013999999999999999,99.0,0.0
222,222,0.06899999999999999,0.009000000000000001,99.0,0.0
223,223,0.07399999999999998,0.008,99.0,0.0
224,224,0.07399999999999998,0.006999999999999999,99.0,0.0
225,225,0.07099999999999998,0.005,99.0,0.0
226,226,0.07099999999999998,0.0030000000000000005,99.0,0.0
227,227,0.06499999999999999,0.004,99.0,0.0
